Experiment,Vertexes,Density,Time(mcs)
481,100,0.7,52748.2
482,100,0.7,52541.73
483,100,0.7,53489.69
484,100,0.7,54313.42
485,100,0.7,58650.73
486,100,0.7,54350.61
487,100,0.7,53544.76
488,100,0.7,51018.0
489,100,0.7,52185.3
490,100,0.7,51760.2
491,100,0.7,50779.82
492,100,0.7,51591.63
493,100,0.7,50177.34
494,100,0.7,53742.65
495,100,0.7,50503.97
496,100,0.7,70306.3
497,100,0.7,51966.19
498,100,0.7,61931.13
499,100,0.7,55243.25
500,100,0.7,51539.42
501,120,0.7,87516.55
502,120,0.7,87357.52
503,120,0.7,92984.68
504,120,0.7,93730.69
505,120,0.7,91649.53
506,120,0.7,96652.51
507,120,0.7,90066.19
508,120,0.7,92446.09
509,120,0.7,90240.96
510,120,0.7,89195.97
511,120,0.7,86223.6
512,120,0.7,88341.47
513,120,0.7,91901.3
514,120,0.7,89165.21
515,120,0.7,88304.76
516,120,0.7,94267.37
517,120,0.7,89393.62
518,120,0.7,89424.13
519,120,0.7,94283.58
520,120,0.7,88930.61
521,140,0.7,141979.93
522,140,0.7,148206.95
523,140,0.7,138410.57
524,140,0.7,142215.49
525,140,0.7,141809.46
526,140,0.7,139877.8
527,140,0.7,136087.89
528,140,0.7,140160.32
529,140,0.7,138166.19
530,140,0.7,142040.73
531,140,0.7,143646.72
532,140,0.7,144885.78
533,140,0.7,144296.17
534,140,0.7,143796.92
535,140,0.7,147460.94
536,140,0.7,149980.07
537,140,0.7,145907.64
538,140,0.7,141947.51
539,140,0.7,141952.51
540,140,0.7,139229.06
541,160,0.7,208621.5
542,160,0.7,208512.07
543,160,0.7,220289.47
544,160,0.7,210202.22
545,160,0.7,217687.13
546,160,0.7,224348.07
547,160,0.7,214065.79
548,160,0.7,207066.54
549,160,0.7,213886.98
550,160,0.7,214678.05
551,160,0.7,216290.47
552,160,0.7,217205.05
553,160,0.7,212924.72
554,160,0.7,227862.83
555,160,0.7,205257.89
556,160,0.7,211586.48
557,160,0.7,212717.29
558,160,0.7,211903.81
559,160,0.7,212903.98
560,160,0.7,218560.7
561,180,0.7,304400.44
562,180,0.7,315413.95
563,180,0.7,303925.04
564,180,0.7,307817.7
565,180,0.7,307561.64
566,180,0.7,298270.46
567,180,0.7,314213.99
568,180,0.7,321937.32
569,180,0.7,306616.31
570,180,0.7,305084.23
571,180,0.7,302991.15
572,180,0.7,301433.09
573,180,0.7,308541.3
574,180,0.7,305098.06
575,180,0.7,311866.76
576,180,0.7,303714.99
577,180,0.7,299886.23
578,180,0.7,310815.1
579,180,0.7,309966.09
580,180,0.7,299222.47
581,200,0.7,411494.02
582,200,0.7,414206.03
583,200,0.7,410530.57
584,200,0.7,421879.77
585,200,0.7,403288.84
586,200,0.7,417013.88
587,200,0.7,423325.3
588,200,0.7,422064.54
589,200,0.7,417176.01
590,200,0.7,419545.89
591,200,0.7,408042.91
592,200,0.7,410406.35
593,200,0.7,424944.88
594,200,0.7,415490.87
595,200,0.7,417942.76
596,200,0.7,410635.23
597,200,0.7,429110.05
598,200,0.7,415736.2
599,200,0.7,424664.26
600,200,0.7,423221.59
601,200,0.1,403586.39
602,200,0.1,404495.48
603,200,0.1,398684.02
604,200,0.1,393584.97
605,200,0.1,375570.3
606,200,0.1,413634.78
607,200,0.1,399924.28
608,200,0.1,395707.61
609,200,0.1,401498.32
610,200,0.1,397966.15
611,200,0.1,412135.84
612,200,0.1,395892.38
613,200,0.1,405475.62
614,200,0.1,402227.16
615,200,0.1,390232.8
616,200,0.1,414057.97
617,200,0.1,389365.43
618,200,0.1,400141.48
619,200,0.1,397238.25
620,200,0.1,390691.04
621,200,0.15,418272.02
622,200,0.15,400804.52
623,200,0.15,411155.94
624,200,0.15,402067.42
625,200,0.15,402059.79
626,200,0.15,405073.64
627,200,0.15,396658.18
628,200,0.15,403046.13
629,200,0.15,406253.81
630,200,0.15,404512.17
631,200,0.15,406626.46
632,200,0.15,400946.62
633,200,0.15,406582.12
634,200,0.15,403291.46
635,200,0.15,417923.93
636,200,0.15,400041.1
637,200,0.15,410357.0
638,200,0.15,402024.98
639,200,0.15,402677.54
640,200,0.15,407147.88
641,200,0.2,404692.89
642,200,0.2,410472.87
643,200,0.2,409055.47
644,200,0.2,409876.35
645,200,0.2,426239.49
646,200,0.2,405130.62
647,200,0.2,397605.18
648,200,0.2,406663.66
649,200,0.2,420297.38
650,200,0.2,409112.93
651,200,0.2,404531.48
652,200,0.2,407787.8
653,200,0.2,415145.16
654,200,0.2,398961.31
655,200,0.2,407468.8
656,200,0.2,411778.69
657,200,0.2,416030.17
658,200,0.2,420981.41
659,200,0.2,404845.24
660,200,0.2,398296.59
661,200,0.25,447725.3
662,200,0.25,410707.24
663,200,0.25,417387.96
664,200,0.25,407261.61
665,200,0.25,401519.3
666,200,0.25,398686.65
667,200,0.25,431918.14
668,200,0.25,415278.91
669,200,0.25,408720.02
670,200,0.25,407356.98
671,200,0.25,410211.09
672,200,0.25,429898.5
673,200,0.25,414373.87
674,200,0.25,408270.36
675,200,0.25,401070.36
676,200,0.25,434153.56
677,200,0.25,412450.55
678,200,0.25,414365.29
679,200,0.25,412189.01
680,200,0.25,414358.38
681,200,0.3,411144.26
682,200,0.3,420934.44
683,200,0.3,411709.07
684,200,0.3,409465.07
685,200,0.3,425851.58
686,200,0.3,410675.53
687,200,0.3,409950.97
688,200,0.3,406322.0
689,200,0.3,418463.23
690,200,0.3,405566.45
691,200,0.3,409387.11
692,200,0.3,415875.43
693,200,0.3,402286.77
694,200,0.3,414066.55
695,200,0.3,417069.2
696,200,0.3,418172.36
697,200,0.3,406564.95
698,200,0.3,407093.76
699,200,0.3,425537.59
700,200,0.3,400764.23
701,200,0.35,439625.02
702,200,0.35,419379.47
703,200,0.35,413877.25
704,200,0.35,409615.76
